timestamp,input,output,input_length,output_length,response_time,confidence,sentiment_score,prediction
2025-10-13T14:48:25.509313,How to fix a blue screen error?,"Restart your PC, update drivers, or run a system diagnostic to check for hardware issues.",31,89,1.702496456852882,0.847109873598232,-0.08870882443549982,technical
2025-10-13T15:48:25.509313,Why is my PC slow?,"Check for background processes, update drivers, or increase RAM.",18,64,1.38281565393455,0.8118563651097136,-0.14827615246707676,technical
2025-10-13T16:48:25.509313,How to update graphics drivers?,"Go to Device Manager, select your graphics card, and choose 'Update Driver' or download from the manufacturer's website.",31,120,1.841774415553534,0.8847230918068565,0.3216434205783892,technical
2025-10-13T17:48:25.509313,Why is my computer overheating?,"Clean dust from fans, ensure proper ventilation, or replace thermal paste.",31,74,1.7556163507019964,0.7967710266684542,0.20773196540970457,technical
2025-10-13T18:48:25.509313,How to recover deleted files?,Use recovery software like Recuva or check the Recycle Bin.,29,59,1.3829811211401188,0.8432359006173903,0.7259256194141497,technical
2025-10-13T19:48:25.509313,Why does my Wi-Fi keep disconnecting?,"Restart your router, update firmware, or check for interference.",37,64,0.5775561454809435,0.8597464293552687,0.5150253796003803,technical
2025-10-13T20:48:25.509313,How to fix a printer not responding?,"Check connections, restart the printer, or update drivers.",36,58,2.462707199497208,0.8603269703726486,0.3080217837962886,technical
2025-10-13T21:48:25.509313,What is a kernel panic error?,It’s a system crash on macOS or Linux; update software or check hardware.,29,73,2.457024974060444,0.7466841125914279,0.26935955409176965,technical
2025-10-13T22:48:25.509313,How to speed up my laptop?,"Disable startup programs, defragment the drive, or upgrade to an SSD.",26,69,1.1651186093218497,0.8494500510588802,0.545855389811521,technical
2025-10-13T23:48:25.509313,Why is my screen flickering?,"Update graphics drivers, check cable connections, or adjust refresh rate.",28,73,1.9099947149375134,0.7736237053698218,-0.05389227766658672,technical
2025-10-14T00:48:25.509313,How to fix USB device not recognized?,"Try a different USB port, update drivers, or restart your PC.",37,61,1.4006412688894785,0.8350590392649933,0.24053320109008164,technical
2025-10-14T01:48:25.509313,Why is my hard drive making noise?,Backup data immediately; it may be failing. Consider replacing it.,34,66,2.2815104386565617,0.8966737372676709,0.68555275982751,technical
2025-10-14T02:48:25.509313,How to fix application crashing on startup?,"Reinstall the application, check for updates, or run as administrator.",43,70,0.7733033856240406,0.7719985858930851,-0.04728631262388189,technical
2025-10-14T03:48:25.509313,Why is my browser so slow?,"Clear cache, disable unnecessary extensions, or check for malware.",26,66,1.3160873775721091,0.8345138730322237,-0.04043135766887912,technical
2025-10-14T04:48:25.509313,How to reset Windows password?,Use a password reset disk or Windows recovery options.,30,54,0.5604673571639842,0.8783599703822375,0.2966160608664558,technical
2025-10-14T05:48:25.509313,How to fix a network printer issue?,"Check the network connection, ensure drivers are up-to-date, or restart the printer.",35,84,1.6118394044918443,0.9245189687667466,0.5608735954465365,technical
2025-10-14T06:48:25.509313,Why is my laptop battery draining fast?,"Check for background apps, reduce screen brightness, or replace the battery.",39,76,0.5012728400086599,0.9268204975492957,-0.030321866330848934,technical
2025-10-14T07:48:25.509313,How to recover files from a formatted drive?,Use data recovery software like EaseUS or Disk Drill.,44,53,2.161013529197768,0.7511341897508617,0.19890871313746544,technical
2025-10-14T08:48:25.509313,Why is my PC making loud fan noise?,"Clean dust, ensure proper airflow, or check for malware causing high CPU usage.",35,79,2.374074759045402,0.7856309908562914,0.6101223848358912,technical
2025-10-14T09:48:25.509313,How to fix a stuck Windows update?,Run the Windows Update troubleshooter or reset update components.,34,65,1.5749046241482552,0.8552253337132036,0.6157821829911807,technical
2025-10-14T10:48:25.509313,How to fix audio not working?,"Check audio drivers, ensure correct output device, or restart your PC.",29,70,0.604821269356355,0.8196452429227874,0.05715984461622631,technical
2025-10-14T11:48:25.509313,Why is my computer randomly restarting?,"Check for overheating, update BIOS, or scan for malware.",39,56,2.2763803466461976,0.7189474842747838,0.7715740442599461,technical
2025-10-14T12:48:25.509313,How to fix slow boot times?,"Disable startup programs, defragment your drive, or upgrade to SSD.",27,67,0.5650679389104651,0.7645469286028774,0.4291708461849674,technical
2025-10-14T13:48:25.509313,Why is my keyboard typing wrong characters?,Check language settings or replace faulty keyboard.,43,51,0.9905616521663272,0.9006182770902627,0.28124392507924595,technical
2025-10-14T14:48:25.509313,How to fix Windows activation error?,Use valid product key or contact Microsoft support.,36,51,2.425554971196325,0.7962881077335939,0.6025703293280991,technical
2025-10-14T15:48:25.509313,How to fix a corrupt user profile?,Create a new user account and transfer your data.,34,49,1.8711380905667883,0.7066503045144036,0.7756222310676999,technical
2025-10-14T16:48:25.509313,Why is my internet speed slow?,"Check your router, reduce connected devices, or contact your ISP.",30,65,2.3229637622807884,0.7026066159418695,0.2744565602479017,technical
2025-10-14T17:48:25.509313,How to fix laptop not charging?,"Check the charger and cable, inspect the port, or replace the battery.",31,70,1.4594892579616174,0.7056737298852843,0.1366231148728097,technical
2025-10-14T18:48:25.509313,Why is my monitor showing a black screen?,"Check power and connection cables, or test with another monitor.",41,64,2.1773585908547135,0.9192070881213852,0.1376433782013678,technical
2025-10-14T19:48:25.509313,How to fix overheating GPU?,"Clean the fans, improve case airflow, or replace thermal paste.",27,63,0.9017040955605238,0.831678887946166,0.6864402635547875,technical
2025-10-14T20:48:25.509313,Why is my hard drive full?,Delete unnecessary files or move data to an external drive.,26,59,1.0383285577435308,0.7381178420409197,0.46505876501020654,technical
2025-10-14T21:48:25.509313,How to fix application freezing?,"Update the application, clear cache, or reinstall it.",32,53,1.007591315113321,0.8983642314749637,0.41969067176886726,technical
